T[s],sppa0001_21_Timestamp_Unit0,T[s],sppa0001_31_Timestamp_Unit0,T[s],sppa0001_41_Timestamp_Unit0,T[s],sppa0001_22_Timestamp_Unit0,T[s],sppa0001_32_Timestamp_Unit0,T[s],sppa0001_42_Timestamp_Unit0,T[s],sppa0001_23_Timestamp_Unit0,T[s],sppa0001_33_Timestamp_Unit0,T[s],sppa0001_43_Timestamp_Unit0
25.98712,NaN,16.21036,NaN,16.18104,NaN,45.54888,NaN,41.78576,NaN,38.95608,NaN,39.76084,NaN,26.01076,NaN,30.99124,NaN
25.98988,NaN,16.21296,NaN,16.18416,NaN,45.61856,NaN,41.78848,NaN,38.97644,NaN,41.08152,NaN,26.01292,NaN,32.19172,NaN
25.99476,NaN,16.21848,NaN,16.18656,NaN,45.62716,NaN,41.81232,NaN,39.02596,NaN,41.16896,NaN,26.02152,NaN,32.20028,NaN
25.9984,NaN,16.22088,NaN,16.18948,NaN,45.65776,NaN,41.82356,NaN,39.151,NaN,41.64212,NaN,26.02512,NaN,32.2038,NaN
26.00424,NaN,16.22652,NaN,16.19484,NaN,45.67316,NaN,41.83932,NaN,41.64764,NaN,41.65336,NaN,26.03104,NaN,32.21268,NaN
26.00672,NaN,16.2288,NaN,16.19772,NaN,45.70748,NaN,41.8456,NaN,41.65924,NaN,41.65672,NaN,26.03504,NaN,32.21524,NaN
26.01516,NaN,16.23748,NaN,16.20172,NaN,45.86744,NaN,41.8508,NaN,41.66284,NaN,41.65892,NaN,26.03956,NaN,32.21948,NaN
26.02012,NaN,16.23964,NaN,16.20544,NaN,45.88672,NaN,41.86032,NaN,41.66536,NaN,41.66256,NaN,26.04248,NaN,32.22504,NaN
26.02468,NaN,16.24268,NaN,16.20836,NaN,46.08088,NaN,41.87292,NaN,41.67016,NaN,41.66616,NaN,26.05284,NaN,32.22816,NaN
26.02824,NaN,16.2458,NaN,16.21284,NaN,46.08296,NaN,41.94464,NaN,41.67344,NaN,41.67012,NaN,26.05552,NaN,32.23104,NaN
26.03056,NaN,16.24944,NaN,16.21536,NaN,46.08784,NaN,41.9966,NaN,41.6768,NaN,41.67616,NaN,26.06372,NaN,32.23424,NaN
26.03272,NaN,16.25224,NaN,16.2176,NaN,46.09356,NaN,45.27332,NaN,41.68208,NaN,41.6792,NaN,26.07264,NaN,32.23684,NaN
26.04108,NaN,16.25604,NaN,16.22,NaN,46.09576,NaN,45.2812,NaN,41.68448,NaN,41.68236,NaN,26.07484,NaN,32.24312,NaN
26.04348,NaN,16.26292,NaN,16.22264,NaN,46.113,NaN,45.2864,NaN,41.69104,NaN,41.69392,NaN,26.08028,NaN,32.24788,NaN
26.05292,NaN,16.27124,NaN,16.22548,NaN,46.18168,NaN,45.29036,NaN,41.70188,NaN,41.70024,NaN,26.09464,NaN,32.25184,NaN
26.08148,NaN,16.28664,NaN,16.22756,NaN,46.1882,NaN,45.29648,NaN,41.7174,NaN,41.70808,NaN,26.10104,NaN,32.26092,NaN
